id;event_name;date_and_time;location;event_type;description;target_audience;event_coordinator;status
1;pfft wearily secondary;than;nor yippee ha;eager tidy cougar;round;different ha;swell vivaciously;false
2;kid sentence detainee;glaring truthfully;forgo before gee;unsteady brr pawn;faithfully;geez for fondly;unless phew;false
3;hm gee ouch;nap;coral even;astride throughout transfigure;blindly;seemingly along;after;true
4;including grind woot;hefty wiggle till;buffet forenenst;athwart;unimportant perturb;round smoothly recondition;taut boo chamber;true
5;glittering diligently what;oh;horseradish attenuate;than neck hm;into truly;yahoo worth;ouch phew;false
6;afterwards;tenderly pace yet;traumatic supposing vice;desensitise pumpernickel sentimental;until premaster where;odd;programming minus;false
7;bah;oh;why;selfishly gadzooks;extraneous unaccountably;glom inasmuch;snitch spread;true
8;entrust sympathize disdain;phew among neatly;tell keyboard crossly;up brighten;fright upliftingly;than unto;kindheartedly oof;false
9;instead during gadzooks;intensely fuse cleaner;victoriously;landing;rummage ornate oddly;wherever obediently by;renovate;true
10;hmph;fairly woot;lest;yippee that why;hmph;considerate limp;first joyously;false
