id;volunteer_name;date_and_time;location;time_duration;description;member;volunteer_op_coordinator
1;plonk disappoint so;fooey what boohoo;inasmuch sheepishly boohoo;eek;inasmuch;noted bore;beyond
2;watermelon lest;meh inside rash;mantel bathroom;brisk sticky hungry;above which;frown following peek;sheepishly woot
3;nail though;or vacantly wholly;ensconce alb;who wrongly;and;astride whopping;smooth
4;course;duh ick;bachelor;even who;mostly;geez extremely;incidentally
5;than rise which;buck scarily;lest;given haemorrhage hence;aside however bold;dearly till deploy;that ah yahoo
6;negative typeface;phew unless however;anti an;secret drawer;forked drat;um cruelly;opposite over
7;unlike ha;pricey pirate;absent unethically whereas;postmark damage yuck;on palatalise;fancy;finally socialism mellow
8;sustenance;livid pedestrianize wangle;defiantly;diligently whereas;equally hot;harmonise infringe;bedevil complexity likewise
9;instead discourse;crouch overturn bold;till;via;gadzooks;never;healthily seriously
10;evenly encash bead;cylinder past;earnings sardine ugh;than;lymphocyte obediently;lest faithfully destroy;gift
